Prefix,Course Title,Section,Class Number,Days & Times,Bldg & Room
ACCTG,230 Introduction to Financial Accounting,04,06472,"M,W,F15.10-16",TODD 120
ACCTG,231 Introduction to Managerial Accounting,01,06473,"M,W,F8.10-9",TODD 420
ACCTG,231 Introduction to Managerial Accounting,02,06474,"M,W,F10.10-11",TODD 334
ACCTG,231 Introduction to Managerial Accounting,03,09916,"M,W,F14.10-15",TODD 420
ACCTG,231 Introduction to Managerial Accounting,04,13444,"M,W,F11.10-12",WLSH 13
ACCTG,330 Intermediate Accounting I,01,06475,"TU,TH9.10-10.25",TODD 204
ACCTG,330 Intermediate Accounting I,02,06476,"TU,TH10.35-11.50",TODD 230
ACCTG,330 Intermediate Accounting I,03,08621,"TU,TH14.55-16.10",TODD 204
ACCTG,331 Intermediate Accounting II,02,09260,"TU,TH12.05-13.20",TODD 230
ACCTG,335 Taxation of Business Entities and Individuals,01,06478,"TU,TH9.10-10.25",TODD 430
ACCTG,338 Cost Accounting,01,06480,"TU,TH12.05-13.20",TODD 204
ACCTG,433 [M] Accounting Systems and Auditing,01,06482,"M,W,F13.10-14",TODD 334
ACCTG,433 [M] Accounting Systems and Auditing,02,06483,"M,W,F12.10-13",CUE 202
ACCTG,435 Individual Income Taxes,01,09577,"M,W,F9.10-10",TODD 204
ACCTG,498 Accounting Internship,01,06485,ARRGT,ARR ARR
ACCTG,499 Special Problems,01,06486,ARRGT,ARR ARR
ACCTG,596 Doctoral Topics,01,06488,ARRGT,ARR ARR
ACCTG,600 Special Projects or Independent Study,01,06489,ARRGT,ARR ARR
ACCTG,"800 Doctoral Research, Dissertation, and/or Examination",01,06491,ARRGT,ARR ARR
AERO,101 Heritage and Values I,01,05719,TU14.55-15.45,CLEV 30
AERO,101 Heritage and Values I,02,07994,TH12.05-12.55,SPRK 227
AERO,103 Leadership Laboratory I,01,05720,TH17-19,CUE 203
AERO,201 Team and Leadership Fundamentals I,01,05721,TU9.10-10,KRUG 417
AERO,201 Team and Leadership Fundamentals I,02,05722,TH14.55-15.45,KRUG 417
AERO,203 Leadership Laboratory II,01,05723,TH17-19,TODD 116
AERO,311 Leading People and Effective Communication I,01,05724,"TU,TH10.35-11.50",KRUG 417
AERO,313 Leadership Laboratory III,01,05725,TH17-19,CUE 219
AERO,"411 National Security, Leadership, and Commissioning Preparation I",01,05726,"TU,TH13.30-14.45",KRUG 417
AERO,413 Leadership Laboratory IV,01,05727,TH17-19,CUE 209
AERO,499 Special Problems,01,05728,ARRGT,ARR ARR
AFS,102 Professional Development in the Agricultural and Natural Resource Sciences,01,08579,M15.10-16,JSNH C0105
AFS,103 Field Experience in Agricultural and Food Systems,01,09209,ARRGT,ARR ARR
AFS,201 Systems Skills Development for Agricultural & Food Systems,01,12062,"M,W,F12.10-13",SPRK 335
AFS,501 Current Research in Organic and Sustainable Agriculture,02,09191,ARRGT,ARR ARR
AFS,505 Topics in Computational and Analytical Methods for Scientists,01,15559,ARRGT,ARR ARR
AFS,505 Topics in Computational and Analytical Methods for Scientists,02,15560,ARRGT,ARR ARR
AFS,505 Topics in Computational and Analytical Methods for Scientists,03,15561,ARRGT,ARR ARR
AG_ED,110 Introduction to Agricultural Education,01,08095,"TU,TH9.10-10",JSNH 272
AG_ED,407 [CAPS] Student Teaching in Agricultural Education,01,05344,ARRGT,ARR ARR
AG_ED,440 [M] Principles of Career and Technical Education,01,05345,"M,W,F8.10-9",JSNH 204
AG_ED,"450 Planning, Curriculum, and Techniques in Ag Ed",01,05346,"M,W,F12.10-13.25",WEGN G0050
AG_ED,471 Student Organizations in Agricultural Education,01,05347,"M,W,F9.10-10",JSNH 204
AG_ED,497 Internship in Agricultural Education,01,05348,ARRGT,ARR ARR
AG_ED,497 Internship in Agricultural Education,02,09543,ARRGT,ARR ARR
AG_ED,499 Special Problems,01,05349,ARRGT,ARR ARR
AGRI,562 Advanced Topics,01,08331,ARRGT,ARR ARR
AGRI,587 Research and Extension Communications in Agriculture,01,05633,ARRGT,ARR ARR
AGRI,"700 Master's Research, Thesis, and/or Examination",01,05634,ARRGT,ARR ARR
AGRI,"702 Master's Special Problems, Directed Study, and/or Examination",01,05635,ARRGT,ARR ARR
AGTM,201 Metal Fabrication,01,05699,TU12.10-13,ELB 2
AGTM,201 Metal Fabrication,01 Lab,05701,"TU,TH13.10-16",ELB 2
AGTM,305 Agricultural Precision Systems,01,05703,"M,W10.10-11",CUE 318
AGTM,305 Agricultural Precision Systems,01 Lab,05704,M14.10-17,HULB 5
AGTM,310 Small Engine Maintenance and Repair,01,05705,"M,W12.10-13",ELB 2
AGTM,310 Small Engine Maintenance and Repair,01 Lab,05706,F12.10-15,ELB 2
AGTM,310 Small Engine Maintenance and Repair,02 Lab,09478,TH8.25-11.15,ELB 2
AGTM,314 Agricultural Power Units and Mobile Electrical Systems,01,05707,"M,W11.10-12",CUE 318
AGTM,314 Agricultural Power Units and Mobile Electrical Systems,01 Lab,05708,TU14.55-17.45,LJSM 114
AGTM,315 Irrigation Systems and Water Management,01,05709,"M,W9.10-10",CUE 318
AGTM,315 Irrigation Systems and Water Management,01 Lab,05710,W14.10-17,LJSM 120
AGTM,444 Teaching Practicum,02,05712,ARRGT,ARR ARR
AGTM,451 Seminar,01,05713,TU12.05-12.55,HULB 23
AGTM,481 Independent Research,02,05715,ARRGT,ARR ARR
AGTM,495 Internship in Agricultural Technology and Management,02,07931,ARRGT,ARR ARR
AGTM,499 Special Problems,02,05718,ARRGT,ARR ARR
AIS,320 [DIVR] Native Peoples of North America,02,11908,ARRGT,ARR ARR
AIS,331 [SSCI] Archaeology of the Americas,01,11996,ARRGT,ARR ARR
AIS,401 Tribal Nation Building Leadership - Research I,01,09948,ARRGT,ARR ARR
AMDT,"105 Introductory College Seminar in Apparel, Merchandising, Design, and Textiles",01,07758,M9.10-10,JSNH C0001
AMDT,210 [PSCI] Textiles,08 Lab,16419,W16.10-19,CUE 319
AMDT,211 Apparel Assembly,01,06623,"W,F9.10-11.40",JSNH C0112
AMDT,211 Apparel Assembly,02,10007,"TU,TH13.30-16",JSNH C0112
AMDT,230 Creating Visual Advertising in Fashion,01,08478,"TU,TH10.35-11.50",JSNH C0001
AMDT,308 Visual Merchandising and Promotion,01 Lab,09232,W16.10-18,JSNH 22
AMDT,308 Visual Merchandising and Promotion,02 Lab,09983,TH12.05-14.05,JSNH 22
AMDT,310 Advanced Apparel Assembly,01,06625,W9.10-10,ARR ARR
AMDT,310 Advanced Apparel Assembly,01 Lab,06626,"W,F10.10-12.20",ARR ARR
AMDT,315 [M] Textile Product Analysis,01,08073,TU9.10-10.50,JSNH C0003
AMDT,315 [M] Textile Product Analysis,01 Lab,08074,TH9.10-10.50,VPBS 31
AMDT,409 Technical Apparel Design,01,09975,"W,F9.10-11.40",ARR ARR
AMDT,411 Advanced Apparel Design,01,06631,"TU,TH13.30-16",JSNH C0113
AMDT,490 Cooperative Education Internship,01,06634,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,01,06635,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,02,06636,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,03,06637,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,04,06638,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,05,06639,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,06,06640,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,07,06641,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,08,06642,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,09,06643,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,10,07744,ARRGT,ARR ARR
AMDT,496 Special Event Production,01,09458,"M,W15.10-16",JSNH C0001
AMDT,498 Special Topics,01,06644,ARRGT,ARR ARR
AMDT,498 Special Topics,02,06645,ARRGT,ARR ARR
AMDT,498 Special Topics,03,06646,ARRGT,ARR ARR
AMDT,498 Special Topics,07,06647,ARRGT,ARR ARR
AMDT,498 Special Topics,08,07622,ARRGT,ARR ARR
AMDT,498 Special Topics,09,07647,ARRGT,ARR ARR
AMDT,498 Special Topics,10,07648,ARRGT,ARR ARR
AMDT,498 Special Topics,11,07826,ARRGT,ARR ARR
AMDT,498 Special Topics,12,07850,ARRGT,ARR ARR
AMDT,499 Special Problems,01,06648,ARRGT,ARR ARR
AMDT,499 Special Problems,02,06649,ARRGT,ARR ARR
AMDT,499 Special Problems,03,06650,ARRGT,ARR ARR
AMDT,499 Special Problems,04,06651,ARRGT,ARR ARR
AMDT,499 Special Problems,05,06652,ARRGT,ARR ARR
AMDT,499 Special Problems,06,07750,ARRGT,ARR ARR
AMDT,499 Special Problems,07,08915,ARRGT,ARR ARR
AMDT,509 Technical Apparel Design,01,09976,"W,F9.10-11.40",ARR ARR
AMDT,519 Research Methods,01,06653,F14.15-16.45,JSNH C0003
AMDT,550 Social Networking and Omni-channel Retailing,01,09987,TH14.55-17.25,JSNH C0003
AMDT,596 Advanced Instructional Practicum,01,06654,ARRGT,ARR ARR
AMDT,598 Topics in Apparel and Textiles,01,06655,ARRGT,ARR ARR
AMDT,598 Topics in Apparel and Textiles,02,07659,ARRGT,ARR ARR
AMDT,598 Topics in Apparel and Textiles,03,07842,ARRGT,ARR ARR
AMDT,598 Topics in Apparel and Textiles,04,08071,ARRGT,ARR ARR
AMDT,598 Topics in Apparel and Textiles,05,08075,ARRGT,ARR ARR
AMDT,600 Special Projects or Independent Study,01,06656,ARRGT,ARR ARR
AMDT,600 Special Projects or Independent Study,02,06657,ARRGT,ARR ARR
AMDT,600 Special Projects or Independent Study,03,06658,ARRGT,ARR ARR
AMDT,600 Special Projects or Independent Study,04,06659,ARRGT,ARR ARR
AMDT,600 Special Projects or Independent Study,05,06660,ARRGT,ARR ARR
AMDT,"700 Master's Research, Thesis, and/or Examination",02,06661,ARRGT,ARR ARR
AMDT,"700 Master's Research, Thesis, and/or Examination",03,06662,ARRGT,ARR ARR
AMDT,"700 Master's Research, Thesis, and/or Examination",04,06663,ARRGT,ARR ARR
AMDT,"700 Master's Research, Thesis, and/or Examination",05,06664,ARRGT,ARR ARR
AMDT,"700 Master's Research, Thesis, and/or Examination",06,07827,ARRGT,ARR ARR
AMDT,"702 Master's Special Problems, Directed Study and/or Examination",01,06665,ARRGT,ARR ARR
AMDT,"702 Master's Special Problems, Directed Study and/or Examination",02,06666,ARRGT,ARR ARR
AMDT,"702 Master's Special Problems, Directed Study and/or Examination",03,06667,ARRGT,ARR ARR
AMDT,"702 Master's Special Problems, Directed Study and/or Examination",04,06668,ARRGT,ARR ARR
AMDT,"702 Master's Special Problems, Directed Study and/or Examination",05,06669,ARRGT,ARR ARR
AMDT,"702 Master's Special Problems, Directed Study and/or Examination",06,07828,ARRGT,ARR ARR
AMER_ST,475 [DIVR] Digital Diversity,02,08809,ARRGT,ARR ARR
AMER_ST,505 Pro Seminar in American Cultural Studies,01,11951,TU13.10-16,THOM 109
AMER_ST,"520 Colonization, Globalization and Decolonization",01,11952,W13.10-16,THOM 109
AMER_ST,590 Seminar in American Studies,01,05199,TH13.10-16,THOM 109
AMER_ST,600 Special Projects or Independent Study,01,05200,ARRGT,ARR ARR
AMER_ST,"800 Doctoral Research, Dissertation, and/or Examination",01,05202,ARRGT,ARR ARR
ANIM_SCI,101 Introductory Animal Science,05 Lab,06675,TH14.55-17.35,FLMA 226
ANIM_SCI,166 Young Horse Handling,01,06676,TU12.05-14.55,ARR ARR
ANIM_SCI,166 Young Horse Handling,02,06677,TH12.05-14.55,ARR ARR
ANIM_SCI,172 Dairy Cattle Management Laboratory,01,06678,TU12.05-14.55,ARR ARR
ANIM_SCI,172 Dairy Cattle Management Laboratory,02,06679,TH12.05-14.45,ARR ARR
ANIM_SCI,174 Beef Cow Calf Management Laboratory,01,06680,TU12.05-14.45,WEGN G0050
ANIM_SCI,180 Animal Sciences Orientation,01,06681,M15.10-16,TODD 116
ANIM_SCI,274 Beef Feedlot Systems,01,06683,"M,W10.10-11",TODD 204
ANIM_SCI,285 Rights and Welfare of Animals,01,06684,"M,W,F11.10-12",SPRK 323
ANIM_SCI,285 Rights and Welfare of Animals,02,06685,"M,W,F12.10-13",SPRK 323
ANIM_SCI,313 Feeds and Feeding,01,06686,"M,W,F13.10-14",CUE 203
ANIM_SCI,313 Feeds and Feeding,01 Lab,06687,F14.10-17,TODD 130
ANIM_SCI,313 Feeds and Feeding,02 Lab,06688,W14.10-17,TODD 130
ANIM_SCI,313 Feeds and Feeding,03 Lab,06689,TH14.55-17.45,TODD 216
ANIM_SCI,330 Animal Genetics,01,06690,"M,W,F9.10-10",TODD 116
ANIM_SCI,399 Practicum,01,06692,ARRGT,ARR ARR
ANIM_SCI,399 Practicum,02,06693,ARRGT,ARR ARR
ANIM_SCI,399 Practicum,03,06694,M17.10-18.30,SPRK 335
ANIM_SCI,399 Practicum,TH17.10-18.30,CUE 319, ,""
ANIM_SCI,399 Practicum,04,06695,ARRGT,ARR ARR
ANIM_SCI,399 Practicum,05,06696,ARRGT,ARR ARR
ANIM_SCI,399 Practicum,07,09456,M17.10-18,CUE 419
ANIM_SCI,399 Practicum,08,09867,ARRGT,ARR ARR
ANIM_SCI,440 [M] Physiology of Domestic Animals,01,06697,"M,W,F11.10-12",FSHN T0101
ANIM_SCI,454 Artificial Insemination and Pregnancy Detection,01,06698,"TU,TH7.45-9.45",ARR ARR
ANIM_SCI,454 Artificial Insemination and Pregnancy Detection,01 Lab,06699,ARRGT,ARR ARR
ANIM_SCI,464 [CAPS] [M] Companion Animal Management,01,06700,"TU,TH13.30-14.20",TODD 204
ANIM_SCI,464 [CAPS] [M] Companion Animal Management,01 Lab,06701,TU14.55-17.45,FLMA 226
ANIM_SCI,472 [CAPS] [M] Dairy Cattle Management,01,06702,"M,W,F7.30-8.20",CLEV 30
ANIM_SCI,488 [M] Perspectives in Biotechnology,01,06704,"TU,TH12.05-13.20",TODD 216
ANIM_SCI,499 Special Problems,01,06707,ARRGT,ARR ARR
ANIM_SCI,500 Seminar in Animal Sciences,01,06708,M12.10-13,TODD 130
ANIM_SCI,504 Special Topics,01,07698,ARRGT,ARR ARR
ANIM_SCI,588 [M] Perspectives in Biotechnology,01,06705,"TU,TH12.05-13.20",TODD 216
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",01,06709,ARRGT,ARR ARR
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",02,06710,ARRGT,ARR ARR
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",03,06711,ARRGT,ARR ARR
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",04,06712,ARRGT,ARR ARR
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",05,06713,ARRGT,ARR ARR
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",06,06714,ARRGT,ARR ARR
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",07,06715,ARRGT,ARR ARR
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",10,07747,ARRGT,ARR ARR
ANIM_SCI,"700 Master's Research, Thesis, and/or Examination",12,08175,ARRGT,ARR ARR
ANIM_SCI,"800 Doctoral Research, Dissertation, and/or Examination",01,06718,ARRGT,ARR ARR
ANIM_SCI,"800 Doctoral Research, Dissertation, and/or Examination",02,06719,ARRGT,ARR ARR
ANIM_SCI,"800 Doctoral Research, Dissertation, and/or Examination",03,06720,ARRGT,ARR ARR
ANIM_SCI,"800 Doctoral Research, Dissertation, and/or Examination",04,06721,ARRGT,ARR ARR
ANIM_SCI,"800 Doctoral Research, Dissertation, and/or Examination",05,06722,ARRGT,ARR ARR
ANIM_SCI,"800 Doctoral Research, Dissertation, and/or Examination",06,06723,ARRGT,ARR ARR
ANIM_SCI,"800 Doctoral Research, Dissertation, and/or Examination",07,06724,ARRGT,ARR ARR
ANTH,203 [DIVR] Global Cultural Diversity,03,09791,ARRGT,ARR ARR
ANTH,"268 [BSCI] Sex, Evolution, and Human Nature",03,08500,ARRGT,ARR ARR
ANTH,300 Field Methods,01,07815,ARRGT,ARR ARR
ANTH,300 Field Methods,02,07821,ARRGT,ARR ARR
ANTH,302 [SSCI] Childhood and Culture,01,07194,ARRGT,ARR ARR
ANTH,316 [DIVR] Gender in Cross Cultural Perspective,01,07195,"M,W,F10.10-11",TODD 307
ANTH,320 [DIVR] Native Peoples of North America,02,08069,ARRGT,ARR ARR
ANTH,331 [SSCI] Archaeology of the Americas,01,12750,ARRGT,ARR ARR
ANTH,336 Old World Civilizations,01,15584,"M,W,F13.10-14",SLOA 7
ANTH,"350 [DIVR] Speech, Thought, and Culture",02,07200,ARRGT,ARR ARR
ANTH,390 [M] History of Anthropological Thought,02,09793,ARRGT,ARR ARR
ANTH,404 [CAPS] The Self in Culture,01,07202,ARRGT,ARR ARR
ANTH,418 Human Issues in International Development,01,07203,ARRGT,ARR ARR
ANTH,473 [CAPS] [M] Evolution and Society,01,09854,"M,W,F15.10-16",JSNH C0107
ANTH,495 Research Practicum,01,07801,ARRGT,ARR ARR
ANTH,495 Research Practicum,02,08900,ARRGT,ARR ARR
ANTH,495 Research Practicum,03,08918,ARRGT,ARR ARR
ANTH,498 Anthropology Internship,01,07205,ARRGT,ARR ARR
ANTH,499 Special Problems,01,07206,ARRGT,ARR ARR
ANTH,500 Field Methods,01,08703,ARRGT,ARR ARR
ANTH,539 Prehistory of the Southwest,01,13452,ARRGT,ARR ARR
ANTH,600 Special Projects or Independent Study,01,10091,ARRGT,ARR ARR
ANTH,600 Special Projects or Independent Study,02,07209,ARRGT,ARR ARR
ANTH,"700 Master's Research, Thesis, and/or Examination",01,07210,ARRGT,ARR ARR
ANTH,"800 Doctoral Research, Dissertation, and/or Examination",01,07211,ARRGT,ARR ARR
ARCH,201 Architectural Design I,02,04434,"M,W,F9.10-12",CARP 401
ARCH,201 Architectural Design I,03,14775,"M,W,F13.10-16",CARP 401
ARCH,301 Architectural Design III,01,06571,"M,W,F13.10-16",CARP 301
ARCH,301 Architectural Design III,03,08411,"TU,TH12.05-16.10",CARP 301
ARCH,401 Architectural Design V,01,06575,"TU,TH13.30-18",CARP 401
ARCH,401 Architectural Design V,02,09007,"TU,TH13.30-18",CARP 420
ARCH,511 Graduate Design Studio I,01,06580,"TU,TH13.30-18",CARP 301
ARCH,511 Graduate Design Studio I,02,12077,"M,W,F13.10-17",CARP 301
ARCH,542 Issues in Architecture,01,07611,M9.30-12,CARP 312
ARCH,580 Architecture Practicum,01,07990,ARRGT,ARR ARR
ASIA,121 [HUM] Modern Chinese Culture,01,08513,"TU,TH10.35-11.50",TDAD 276
ASIA,270 [DIVR] India: History and Culture,01,11911,"M,W,F11.10-12",TODD 420
ASIA,322 [DIVR] Ecology in East Asian Cultures,01,09096,"TU,TH14.55-16.10",HLD G0003
ASTRONOM,345 Principles of Astronomy,01,03259,"TU,TH9.10-10.25",WEBS 17
ATH_T,267 Techniques in Athletic Injuries,01,07012,"M,W,F9.10-10",SGYM 214A
ATH_T,267 Techniques in Athletic Injuries,02,09536,"M,W9.10-10",SGYM 214A
ATH_T,267 Techniques in Athletic Injuries,F10.10-11,SGYM 214A, ,""
ATH_T,305 Nutrition Related to Fitness and Sport,01,13457,"M,W,F12.10-13",SGYM 201
ATH_T,370 Injury Pathologies of the Lower Extremity,01,09537,"M,W,F10.10-11",CUE 219
ATH_T,450 [M] Evidence-Based Practice in Athletic Training,01,12053,"TU,TH10.35-11.50",SGYM 214A
ATH_T,490 Athletic Training Instructional Practicum,01,12058,ARRGT,ARR ARR
ATH_T,490 Athletic Training Instructional Practicum,02,12059,ARRGT,ARR ARR
ATH_T,490 Athletic Training Instructional Practicum,03,12060,ARRGT,ARR ARR
ATH_T,499 Special Problems,01,09782,ARRGT,ARR ARR
ATH_T,499 Special Problems,02,09783,ARRGT,ARR ARR
ATH_T,499 Special Problems,03,09878,ARRGT,ARR ARR
ATH_T,530 Evaluation of Lower Extremity Injuries in Athletic Training,01,12054,"TU,TH9.10-10.25",SGYM 214A
ATH_T,535 Therapeutic Modalities in Athletic Training,01,12055,"M,W,F11.10-12",SGYM 214A
ATH_T,591 Athletic Training Clinical Internship I,01,09781,ARRGT,ARR ARR
ATH_T,592 Athletic Training Clinical Internship II,01,12057,ARRGT,ARR ARR
ATH_T,592 Athletic Training Clinical Internship II,01 Lab,16368,ARRGT,ARR ARR
B_A,100 Introduction to Business,05,09680,"M,W,F13.10-14",CUE 119
B_A,100 Introduction to Business,06,09681,"M,W,F14.10-15",CUE 119
B_A,100 Introduction to Business,07,09685,"M,W,F16.10-17",CUE 119
B_A,100 Introduction to Business,08,09687,"M,W,F15.10-16",CUE 119
B_A,100 Introduction to Business,09,09688,"TU,TH7.45-9",CUE 119
B_A,100 Introduction to Business,10,09689,"TU,TH9.10-10.25",CUE 119
B_A,100 Introduction to Business,12,09691,"TU,TH13.30-14.45",CUE 319
B_A,100 Introduction to Business,13,09692,"TU,TH14.55-16.10",CUE 119
B_A,102 Exploring Careers in Business,04,12068,TH9.10-10,""
B_A,102 Exploring Careers in Business,05,14675,ARRGT,ARR ARR
B_A,201 Ethics for Business,01,11923,"TU,TH12.05-13.20",CUE 319
B_A,201 Ethics for Business,02,11924,"TU,TH12.05-13.20",CUE 319
B_A,201 Ethics for Business,03,11925,"TU,TH12.05-13.20",CUE 319
B_A,201 Ethics for Business,04,11927,"TU,TH13.30-14.45",TODD 133
B_A,201 Ethics for Business,05,11928,"TU,TH13.30-14.45",TODD 133
B_A,201 Ethics for Business,06,11929,"TU,TH13.30-14.45",TODD 133
B_A,202 Teams,01,11933,"TU,TH12.05-13.20",CUE 419
B_A,202 Teams,02,11934,"TU,TH12.05-13.20",CUE 419
B_A,202 Teams,03,11935,"TU,TH12.05-13.20",CUE 419
B_A,202 Teams,04,11936,"TU,TH13.30-14.45",SPRK G0010
B_A,202 Teams,05,11937,"TU,TH13.30-14.45",SPRK G0010
B_A,202 Teams,06,11938,"TU,TH13.30-14.45",SPRK G0010
B_A,203 Innovation,01,11942,"TU,TH12.05-13.20",CUE 219
B_A,203 Innovation,02,11943,"TU,TH12.05-13.20",CUE 219
B_A,203 Innovation,03,11944,"TU,TH12.05-13.20",CUE 219
B_A,203 Innovation,04,11945,"TU,TH13.30-14.45",SPRK 235
B_A,203 Innovation,05,11946,"TU,TH13.30-14.45",SPRK 235
B_A,203 Innovation,06,11947,"TU,TH13.30-14.45",SPRK 235
B_A,204 Spreadsheets,01,14896,"M,W,F10.10-11",TODD 330
B_A,204 Spreadsheets,02,14897,"M,W,F11.10-12",TODD 330
B_A,204 Spreadsheets,03,14907,"M,W,F13.10-14",TODD 330
B_A,204 Spreadsheets,04,14908,"TU,TH9.10-10.25",TODD 330
B_A,204 Spreadsheets,05,14909,"TU,TH10.35-11.50",TODD 330
B_A,204 Spreadsheets,06,14910,"TU,TH13.30-14.45",TODD 330
B_A,205 Data Visualization,01,14911,"M,W,F10.10-11",TODD 330
B_A,205 Data Visualization,02,14912,"M,W,F11.10-12",TODD 330
B_A,205 Data Visualization,03,14913,"M,W,F13.10-14",TODD 330
B_A,205 Data Visualization,04,14914,TH9.10-10.25,TODD 330
B_A,205 Data Visualization,05,14915,TH10.35-11.50,TODD 330
B_A,205 Data Visualization,06,14916,"TU,TH13.30-14.45",TODD 330
B_A,206 Decision Analysis,01,14931,"M,W,F10.10-11",TODD 330
B_A,206 Decision Analysis,02,14932,"M,W,F11.10-12",TODD 330
B_A,206 Decision Analysis,03,14933,"M,W,F13.10-14",TODD 330
B_A,206 Decision Analysis,04,14934,"TU,TH9.10-10.25",TODD 330
B_A,206 Decision Analysis,05,14935,"TU,TH10.35-11.50",TODD 330
B_A,206 Decision Analysis,06,14936,"TU,TH13.30-14.45",TODD 330
B_A,596 Doctoral Topics,01,08131,W14.10-17,TODD 411
B_LAW,210 Law and the Legal Environment of Business,01,06465,"M,W,F11.10-12",TODD 216
B_LAW,210 Law and the Legal Environment of Business,02,06466,"M,W,F15.10-16",TODD 133
B_LAW,210 Law and the Legal Environment of Business,03,06467,"M,W,F14.10-15",TDAD 276
B_LAW,210 Law and the Legal Environment of Business,04,08106,"M,W,F8.10-9",TDAD 276
BIO_ENG,310 Introduction to Transport Processes,01,08802,ARRGT,ARR ARR
BIO_ENG,321 Mechanics of Biological Materials,01,04642,"M,W,F10.10-11",WEGN 205
BIO_ENG,322 [M] Mechanics of Biological Materials Lab,01,07699,TU14.55-17.45,WEGN 205
BIO_ENG,410 [M] Bioengineering Capstone Project I,01,04644,"TU,TH10.35-11.50",WEGN 205
BIO_ENG,410 [M] Bioengineering Capstone Project I,01 Lab,04645,ARRGT,ARR ARR
BIO_ENG,440 Unified Systems Bioengineering II,01,04646,"M,W,F12.10-13",WEGN 205
BIO_ENG,440 Unified Systems Bioengineering II,01 Lab,04647,TH14.55-17.45,WEGN 205
BIO_ENG,488 Professional Practice Coop/Internship I,01,08031,ARRGT,ARR ARR
BIO_ENG,495 Internship in Bioengineering,01,04648,ARRGT,ARR ARR
BIO_ENG,499 Special Problems in Bioengineering,01,06455,ARRGT,ARR ARR
BIO_ENG,550 Cellular Bioengineering,01,06456,ARRGT,ARR ARR
BIOLOGY,102 [BSCI] General Biology,03,08668,ARRGT,ARR ARR
BIOLOGY,102 [BSCI] General Biology,21 Lab,08669,ARRGT,ARR ARR
BIOLOGY,107 [BSCI] Introductory Biology: Cell Biology and Genetics,01 Lab,05204,TU9.10-12,ABEL 235
BIOLOGY,210 Your Future in Life Sciences,01,11919,"TU,TH15.10-16",""
BIOLOGY,210 Your Future in Life Sciences,02,13144,"TU,TH16.10-17",""
BIOLOGY,220 Medical Terminology,01,07658,ARRGT,ARR ARR
BIOLOGY,221 Exploring Health Careers,01,07677,M12.10-13,CUE 319
BIOLOGY,301 General Genetics,10,06837,ARRGT,ARR ARR
BIOLOGY,370 [M] Ecology of Health and Disease,01,11918,"TU,TH9.10-10.25",SPRK 323
BIOLOGY,370 [M] Ecology of Health and Disease,01 Lab,12090,TU12.10-15,ABEL 421
BIOLOGY,370 [M] Ecology of Health and Disease,02 Lab,12091,TH12.10-15,ABEL 421
BIOLOGY,372 [M] General Ecology,02,04586,ARRGT,ARR ARR
BIOLOGY,372 [M] General Ecology,06 Lab,04592,ARRGT,ARR ARR
BIOLOGY,393 [M] Professional Communications in Biology,03,07759,ARRGT,ARR ARR
BIOLOGY,395 Evolutionary Medicine,01,13143,"TU,TH13.30-14.45",SPRK 335
BIOLOGY,401 [CAPS] Plants and People,01,09020,"TU,TH13.30-14.45",CUE 219
BIOLOGY,401 [CAPS] Plants and People,03,14900,ARRGT,ARR ARR
BIOLOGY,409 Plant Anatomy,01,09021,"M,W13.10-14",HLD 229
BIOLOGY,409 Plant Anatomy,01 Lab,09022,"M,W14.10-17",HLD 229
BIOLOGY,410 Marine Ecology,01,07335,"TU,TH9.10-10.25",FLMA 226
BIOLOGY,428 Mammalogy,01,07339,"TU,TH12.05-13.20",FLMA 226
BIOLOGY,428 Mammalogy,01 Lab,07340,TU13.30-16.20,EAST 192
BIOLOGY,428 Mammalogy,02 Lab,07341,TH13.30-16.20,EAST 192
BIOLOGY,430 Methods of Teaching Secondary Science I,01,07343,"TU,TH11.10-13",EDAD 308
BIOLOGY,438 [M] Animal Behavior,01,07344,"W,F10.10-11",FLMA 226
BIOLOGY,438 [M] Animal Behavior,01 Lab,07345,TH13.30-16.20,EAST 192
BIOLOGY,438 [M] Animal Behavior,02 Lab,07346,F12.10-15,EAST 192
BIOLOGY,473 [CAPS] [M] Evolution and Society,01,09853,"M,W,F15.10-16",JSNH C0107
BIOLOGY,489 [CAPS] [M] Synthesis and Communication of Independent Research,01,15735,ARRGT,ARR ARR
BIOLOGY,490 [M] Professional Seminar in Physical Therapy,01,07347,TU17.45-19.45,ARR ARR
