Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,230,Introduction to Financial Accounting,01,05927,3,"M,W,F9.10-10",WEB ARR,N Pearson
ACCTG,230,Introduction to Financial Accounting,02,05928,3,"M,W,F13.10-14",WEB ARR,N Pearson
ACCTG,230,Introduction to Financial Accounting,03,05929,3,"M,W,F14.10-15",WEB ARR,N Pearson
ACCTG,230,Introduction to Financial Accounting,05,16293,3,"M,W,F11.10-12",WEB ARR,K Jones
ACCTG,230,Introduction to Financial Accounting,06,16294,3,"M,W16.15-17.30",WEB ARR,K Jones
ACCTG,231,Introduction to Managerial Accounting,01,05930,3,"M,W,F8.10-9",WEB ARR,S Gill
ACCTG,231,Introduction to Managerial Accounting,02,05931,3,"M,W,F9.10-10",WEB ARR,S Gill
ACCTG,231,Introduction to Managerial Accounting,03,05932,3,"M,W,F12.10-13",WEB ARR,C Potter
ACCTG,231,Introduction to Managerial Accounting,04,08978,3,"M,W,F14.10-15",WEB ARR,L Fu
ACCTG,231,Introduction to Managerial Accounting,05,08977,3,"M,W,F11.10-12",WEB ARR,C Potter
ACCTG,231,Introduction to Managerial Accounting,07,16295,3,"TU,TH12.05-13.20",WEB ARR,K Jones
ACCTG,298,Introduction to Financial and Managerial Accounting - Honors,01,"",4,"W,F15.10-16",WEB ARR,N Pearson
ACCTG,298,Introduction to Financial and Managerial Accounting - Honors,"","","",M15.10-17,WEB ARR,""
ACCTG,330,Intermediate Accounting I,01,05933,3,"TU,TH16.20-17.35",WEB ARR,J Porter
ACCTG,330,Intermediate Accounting I,02,05934,3,"M,W,F10.10-11",WEB ARR,J Jaggi
ACCTG,330,Intermediate Accounting I,03,06918,3,"M,W,F9.10-10",WEB ARR,J Jaggi
ACCTG,331,Intermediate Accounting II,01,05935,3,"TU,TH12.05-13.20",WEB ARR,J Gramlich
ACCTG,331,Intermediate Accounting II,02,08348,3,"TU,TH10.35-11.50",WEB ARR,J Porter
ACCTG,335,Taxation of Business Entities and Individuals,01,05936,3,"M,W,F9.10-10",WEB ARR,R Toolson
ACCTG,335,Taxation of Business Entities and Individuals,02,08976,3,"TU,TH16.15-17.30",WEB ARR,K Jones
ACCTG,338,Cost Accounting,01,05937,3,"TU,TH13.30-14.45",WEB ARR,B Barnes
ACCTG,338,Cost Accounting,02,06856,3,"TU,TH14.55-16.10",WEB ARR,B Barnes
ACCTG,433,[M] Accounting Systems and Auditing,01,05938,3,"M,W,F13.10-14",WEB ARR,H Yan
ACCTG,435,Individual Income Taxes,01,05939,3,"TU,TH10.35-11.50",WEB ARR,R Toolson
ACCTG,439,[M] Auditing,01,05940,3,"TU,TH9.10-10.25",WEB ARR,M Harris
ACCTG,439,[M] Auditing,02,05941,3,"TU,TH10.35-11.50",WEB ARR,M Harris
ACCTG,498,Accounting Internship,01,"",V,ARRGT,ARR ARR,S Gill
ACCTG,600,Special Projects or Independent Study,01,"",V,ARRGT,ARR ARR,B Wong-On-Wing
ACCTG,800,"Doctoral Research, Dissertation, and/or Examination",01,05944,V,ARRGT,ARR ARR,B Wong-On-Wing
AERO,102,Heritage and Values II,01,06295,1,TU12.05-12.55,SPRK 335,B O'neill
AERO,102,Heritage and Values II,02,06296,1,TH9.10-10,SPRK 327,B O'neill
AERO,103,Leadership Laboratory I,01,06297,2,TH17-19,CUE 203,B Balazs
AERO,103,Leadership Laboratory I,"","","",TH17-19,CUE 219,""
AERO,202,Team and Leadership Fundamentals II,01,06298,1,TU9.10-10,SPRK 335,B Balazs
AERO,202,Team and Leadership Fundamentals II,02,06299,1,TH12.10-13,SPRK 335,B Balazs
AERO,203,Leadership Laboratory II,01,06300,2,TH17-19,CUE 203,B Balazs
AERO,203,Leadership Laboratory II,"","","",TH17-19,CUE 219,""
AERO,312,Leading People and Effective Communication II,01,06301,3,"TU,TH10.35-11.50",SPRK 335,S Sweat
AERO,313,Leadership Laboratory III,01,06302,2,TH17-19,CUE 203,B Balazs
AERO,313,Leadership Laboratory III,"","","",TH17-19,CUE 219,""
AERO,412,"National Security, Leadership, and Commissioning Preparation II",01,06303,3,"TU,TH13.30-14.45",SPRK 335,C Rocco
AERO,413,Leadership Laboratory IV,01,06304,2,TH17-19,CUE 203,B Balazs
AERO,413,Leadership Laboratory IV,"","","",TH17-19,CUE 219,""
AERO,499,Special Problems,01,06305,V,ARRGT,ARR ARR,(multiple)
AFS,102,Professional Development in the Agricultural and Natural Resource Sciences,01,07831,1,M15.10-16,WEB ARR,H Henning
AFS,302,[M] Introduction to Agroecology,01,05701,3,ARRGT,ARR ARR,K Murphy
AFS,401,[CAPS] Advanced Systems Analysis and Design in Agricultural and Food Systems,01,04331,3,"TU,TH13.30-14.45",WEB ARR,H Henning
AFS,505,Topics in Computational and Analytical Methods for Scientists,01,09093,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,02,09094,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,03,09095,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,04,09096,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,05,09097,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,06,09098,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,07,09099,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,08,09100,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,09,09101,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,10,09102,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,11,09103,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,12,09104,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,13,09105,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,14,09106,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,15,09107,1,"TU,TH10.35-11.50",WEB ARR,S Ficklin
AFS,511,Statistical Methods for Graduate Researchers,01,08421,4,"TU,TH12.05-13.20",WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,02,08670,4,"TU,TH12.05-13.20",WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,03,08672,4,"TU,TH12.05-13.20",WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,04,08674,4,"TU,TH12.05-13.20",WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,05,08676,4,"TU,TH12.05-13.20",WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,01 Lab,08606,0,W15.10-17,WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,02 Lab,08671,0,W15.10-17,WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,03 Lab,08673,0,W15.10-17,WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,04 Lab,08675,0,W15.10-17,WEB ARR,C Kogan
AFS,511,Statistical Methods for Graduate Researchers,05 Lab,08677,0,W15.10-17,WEB ARR,C Kogan
AFS,590,Sociology of Agriculture and Food Systems,01,03952,3,W12.10-15,WEB ARR,J Goldberger
AFS,590,Sociology of Agriculture and Food Systems,02,03953,3,W12.10-15,WEB ARR,J Goldberger
AFS,590,Sociology of Agriculture and Food Systems,03,03954,3,W12.10-15,WEB ARR,J Goldberger
AFS,590,Sociology of Agriculture and Food Systems,04,07030,3,W12.10-15,WEB ARR,J Goldberger
AG_ED,407,[CAPS] Student Teaching in Agricultural Education,01,03933,V,ARRGT,ARR ARR,""
AG_ED,431,Applied Instructional Strategies in Agricultural Education,01,08654,4,"M,W12.10-13",WEB ARR,""
AG_ED,431,Applied Instructional Strategies in Agricultural Education,01 Lab,08655,0,"M,W13.10-16",WEB ARR,""
AG_ED,497,Internship in Agricultural Education,01,"",V,ARRGT,ARR ARR,J Baser
AG_ED,497,Internship in Agricultural Education,02,"",V,ARRGT,ARR ARR,A Warner
AG_ED,499,Special Problems,01,"",V,ARRGT,ARR ARR,J Baser
AG_ED,499,Special Problems,02,"",V,ARRGT,ARR ARR,A Warner
AGRI,700,"Master's Research, Thesis, and/or Examination",01,05753,V,ARRGT,ARR ARR,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,05754,V,ARRGT,ARR ARR,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",02,07898,V,ARRGT,ARR ARR,(multiple)
AGTM,201,Metal Fabrication,01,03976,3,TU12.10-13,WEB ARR,J Baser
AGTM,201,Metal Fabrication,01 Lab,03978,0,"TU,TH13.10-16",ELB 59,J Baser
AGTM,310,Small Engine Maintenance and Repair,01,14711,3,"TU,TH9.10-10.25",WEB ARR,J Baser
AGTM,310,Small Engine Maintenance and Repair,01 Lab,14712,0,F9.10-12,ELB 2,J Baser
AGTM,330,Electrical Power Systems for Agriculture,01,04140,3,"M,W10.10-11",WEB ARR,T Wheeler
AGTM,330,Electrical Power Systems for Agriculture,01 Lab,04141,0,W14.10-17,LJSM 120,T Wheeler
AGTM,402,"Methods, Materials, and Machines for Teaching Ag Mechanics",01,04147,3,"M,W,F8.10-9",ELB 2,J Baser
AGTM,405,Advanced Agricultural Precision Systems,01,04142,2,M9.10-10,WEB ARR,H Neely
AGTM,405,Advanced Agricultural Precision Systems,01 Lab,04143,0,M14.10-17,WEB ARR,H Neely
AGTM,412,Human and Machinery Risk Management,01,04144,3,"TU,TH12.05-13.20",WEB ARR,T Wheeler
AGTM,416,Fluid Power Systems,01,04145,3,"M,W11.10-12",WEB ARR,T Wheeler
AGTM,416,Fluid Power Systems,01 Lab,04146,0,TU14.55-17.45,LJSM 114,T Wheeler
AGTM,444,Teaching Practicum,01,"",1,ARRGT,ARR ARR,J Baser
AGTM,444,Teaching Practicum,02,"",1,ARRGT,ARR ARR,T Wheeler
AGTM,481,Independent Research,01,"",V,ARRGT,ARR ARR,J Baser
AGTM,481,Independent Research,02,"",V,ARRGT,ARR ARR,T Wheeler
AGTM,495,Internship in Agricultural Technology and Management,01,"",V,ARRGT,ARR ARR,J Baser
AGTM,495,Internship in Agricultural Technology and Management,02,"",V,ARRGT,ARR ARR,T Wheeler
AGTM,499,Special Problems,01,"",V,ARRGT,ARR ARR,J Baser
AGTM,499,Special Problems,02,"",V,ARRGT,ARR ARR,T Wheeler
AIS,320,[DIVR] Native Peoples of North America,01,09517,3,ARRGT,ARR ARR,J Mcnassar
AIS,327,[DIVR] Contemporary Native Peoples of the Americas,01,09518,3,ARRGT,ARR ARR,J Mcnassar
AIS,402,Tribal Nation Building Leadership - Research II,01,"",2,W10.10-12,WEB ARR,K Lokensgard
AMDT,210,[PSCI] Textiles,01,06410,4,"TU,TH13.30-14.45",WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,01 Lab,06411,0,M9.10-12,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,02 Lab,06412,0,M16.10-19,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,03 Lab,06772,0,TU9.10-12,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,04 Lab,09441,0,TU16.15-19.05,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,05 Lab,15161,0,W12.10-15,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,06 Lab,15162,0,W15.10-18,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,07 Lab,15163,0,TH10.35-13.25,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,08 Lab,15164,0,TH16.25-19.15,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,09 Lab,15165,0,F8.10-11,WEB ARR,H Liu
AMDT,210,[PSCI] Textiles,10 Lab,15166,0,F11.10-14,WEB ARR,H Liu
AMDT,211,Apparel Assembly,03,"",3,W14.10-19,JSNH C0112,M Shaheen
AMDT,211,Apparel Assembly,04,"",3,F14.10-19,JSNH C0112,M Shaheen
AMDT,212,Apparel Product Development,01,05363,3,"TU,TH9.10-10.25",WEB ARR,""
AMDT,221,Historic Costume II,01,05368,3,"TU,TH12-13.15",WEB ARR,M Shaheen
AMDT,250,Principles of Merchandising,01,07820,3,"M,W,F14.10-15",WEB ARR,X Lou
AMDT,268,Communicating Creative Concepts in Fashion,01,07355,3,"W,F9.10-12",WEB ARR,X Lou
AMDT,307,Consumer Behavior in Fashion,01,05364,3,"TU,TH14.55-16.10",WEB ARR,J Son
AMDT,311,Apparel Flat Patterning and Design,01,06854,3,M9.10-14,JSNH C0112,A Ghalachyan
AMDT,311,Apparel Flat Patterning and Design,02,15208,3,W9.10-14,JSNH C0112,A Ghalachyan
AMDT,312,"Apparel Draping, Fitting, and Design",01,05365,3,W10.10-15.40,JSNH C0113,M Shaheen
AMDT,312,"Apparel Draping, Fitting, and Design",02,15213,3,F10.10-15.40,JSNH C0113,M Shaheen
AMDT,408,[ARTS] Visual Analysis and Aesthetics,01,06479,3,"M,W,F12.10-13",WEB ARR,C Hwang
AMDT,412,Apparel Design Collection,01,05366,3,TU13.25-18.15,JSNH C0113,X Lou
AMDT,412,Apparel Design Collection,02,15218,3,TH13.25-18.15,JSNH C0113,X Lou
AMDT,413,[CAPS] Global Sourcing,01,05367,3,"M,W,F13.10-14",WEB ARR,Y Chen
AMDT,417,[DIVR] [M] Multicultural Perspectives on the Body and Dress,01,15247,3,"TU,TH10.35-11.50",WEB ARR,M Shaheen
AMDT,450,[M] Strategy Planning and Decision Making,01,05370,3,"TU,TH10.35-11.50",WEB ARR,J Son
AMDT,490,Cooperative Education Internship,01,05371,V,ARRGT,ARR ARR,S Hiscock
AMDT,492,"Computer Applications in Apparel, Textile, and Design",01,07837,3,"TU,TH9.10-11.40",WEB ARR,C Hwang
AMDT,492,"Computer Applications in Apparel, Textile, and Design",01 Lab,07950,0,ARRGT,ARR ARR,C Hwang
AMDT,495,Instructional Practicum,01,"",V,ARRGT,ARR ARR,C Silva
AMDT,495,Instructional Practicum,02,"",V,ARRGT,ARR ARR,X Lou
AMDT,495,Instructional Practicum,03,"",V,ARRGT,ARR ARR,T Chi
AMDT,495,Instructional Practicum,04,"",V,ARRGT,ARR ARR,M Shaheen
AMDT,495,Instructional Practicum,05,"",V,ARRGT,ARR ARR,H Liu
AMDT,495,Instructional Practicum,06,"",V,ARRGT,ARR ARR,S Hiscock
AMDT,495,Instructional Practicum,07,"",V,ARRGT,ARR ARR,A Ghalachyan
AMDT,495,Instructional Practicum,08,"",V,ARRGT,ARR ARR,J Son
AMDT,495,Instructional Practicum,09,"",V,ARRGT,ARR ARR,C Hwang
AMDT,495,Instructional Practicum,10,"",V,ARRGT,ARR ARR,L Mccoy
AMDT,496,Special Event Production,01,"",V,"M,W15.10-16",WEB ARR,S Hiscock
AMDT,498,Special Topics,02,"",V,ARRGT,ARR ARR,P Brown-Hayes
AMDT,498,Special Topics,03,"",V,ARRGT,ARR ARR,T Chi
AMDT,498,Special Topics,04,"",V,ARRGT,ARR ARR,M Shaheen
AMDT,498,Special Topics,05,"",V,ARRGT,ARR ARR,H Liu
AMDT,498,Special Topics,06,"",V,ARRGT,ARR ARR,S Hiscock
AMDT,498,Special Topics,07,"",V,ARRGT,ARR ARR,A Ghalachyan
AMDT,498,Special Topics,08,"",V,ARRGT,ARR ARR,J Son
AMDT,498,Special Topics,09,"",V,ARRGT,ARR ARR,C Hwang
AMDT,499,Special Problems,02,"",V,ARRGT,ARR ARR,X Lou
AMDT,499,Special Problems,03,"",V,ARRGT,ARR ARR,T Chi
AMDT,499,Special Problems,04,"",V,ARRGT,ARR ARR,M Shaheen
AMDT,499,Special Problems,05,"",V,ARRGT,ARR ARR,H Liu
AMDT,499,Special Problems,06,"",V,ARRGT,ARR ARR,S Hiscock
AMDT,499,Special Problems,07,"",V,ARRGT,ARR ARR,A Ghalachyan
AMDT,499,Special Problems,08,"",V,ARRGT,ARR ARR,J Son
AMDT,499,Special Problems,09,"",V,ARRGT,ARR ARR,C Hwang
AMDT,518,Apparel Merchandising Analysis,01,15397,3,M9.10-11.40,WEB ARR,T Chi
AMDT,598,Topics in Apparel and Textiles,01,"",V,ARRGT,ARR ARR,A Ghalachyan
AMDT,598,Topics in Apparel and Textiles,02,"",V,ARRGT,ARR ARR,J Son
AMDT,598,Topics in Apparel and Textiles,03,"",V,ARRGT,ARR ARR,C Hwang
AMDT,598,Topics in Apparel and Textiles,04,"",V,ARRGT,ARR ARR,H Liu
AMDT,598,Topics in Apparel and Textiles,05,"",V,ARRGT,ARR ARR,X Lou
AMDT,598,Topics in Apparel and Textiles,06,"",V,ARRGT,ARR ARR,T Chi
AMDT,600,Special Projects or Independent Study,01,"",V,ARRGT,ARR ARR,X Lou
AMDT,600,Special Projects or Independent Study,02,"",V,ARRGT,ARR ARR,T Chi
AMDT,600,Special Projects or Independent Study,03,"",V,ARRGT,ARR ARR,H Liu
AMDT,600,Special Projects or Independent Study,04,"",V,ARRGT,ARR ARR,A Ghalachyan
AMDT,600,Special Projects or Independent Study,05,"",V,ARRGT,ARR ARR,J Son
AMDT,600,Special Projects or Independent Study,06,"",V,ARRGT,ARR ARR,C Hwang
AMDT,700,"Master's Research, Thesis, and/or Examination",01,"",V,ARRGT,ARR ARR,X Lou
AMDT,700,"Master's Research, Thesis, and/or Examination",02,"",V,ARRGT,ARR ARR,T Chi
AMDT,700,"Master's Research, Thesis, and/or Examination",03,"",V,ARRGT,ARR ARR,H Liu
AMDT,700,"Master's Research, Thesis, and/or Examination",04,"",V,ARRGT,ARR ARR,A Ghalachyan
AMDT,700,"Master's Research, Thesis, and/or Examination",05,"",V,ARRGT,ARR ARR,J Son
AMDT,700,"Master's Research, Thesis, and/or Examination",06,"",V,ARRGT,ARR ARR,C Hwang
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",01,"",V,ARRGT,ARR ARR,A Ghalachyan
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",02,"",V,ARRGT,ARR ARR,T Chi
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",03,"",V,ARRGT,ARR ARR,H Liu
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",04,"",V,ARRGT,ARR ARR,X Lou
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",05,"",V,ARRGT,ARR ARR,J Son
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",06,"",V,ARRGT,ARR ARR,C Hwang
AMER_ST,529,Cultural Politics of the Body,01,14458,3,TU14-17,WEB ARR,S Ginsburg
AMER_ST,555,U.S. Interventions in Latin America,01,14459,3,W14-17,WEB ARR,V Navarro-Daniels
AMER_ST,580,Immigration and Citizenship,01,14460,3,TH14-17,WEB ARR,R Ong
AMER_ST,600,Special Projects or Independent Study,01,"",V,ARRGT,ARR ARR,(multiple)
AMER_ST,800,"Doctoral Research, Dissertation, and/or Examination",01,04811,V,ARRGT,ARR ARR,(multiple)
ANIM_SCI,101,Introductory Animal Science,01,05764,3,"TU,TH9.10-10",WEB ARR,M Maquivar
ANIM_SCI,101,Introductory Animal Science,01 Lab,05765,0,TU12.05-14.45,WEB ARR,M Maquivar
ANIM_SCI,101,Introductory Animal Science,03 Lab,08801,0,M14.10-17,WEB ARR,M Maquivar
ANIM_SCI,166,Young Horse Handling,01,"",1,TU12.05-14.55,ARR ARR,A Reitmeier
ANIM_SCI,166,Young Horse Handling,02,"",1,TH12.05-14.55,ARR ARR,A Reitmeier
ANIM_SCI,172,Dairy Cattle Management Laboratory,01,07652,1,TU13.25-16.15,ARR ARR,J Swain
ANIM_SCI,172,Dairy Cattle Management Laboratory,02,07658,1,TU10.35-13.25,ARR ARR,J Swain
ANIM_SCI,172,Dairy Cattle Management Laboratory,03,15336,1,TH10.35-13.25,ARR ARR,J Swain
ANIM_SCI,172,Dairy Cattle Management Laboratory,04,15337,1,TH13.25-16.15,ARR ARR,J Swain
ANIM_SCI,205,[BSCI] Companion Animal Nutrition,01,05767,3,"TU,TH9.10-10.25",WEB ARR,N Irlbeck
ANIM_SCI,240,Introduction to Domestic Animal Anatomy and Physiology,01,08379,3,"M,W,F9.10-10",WEB ARR,M Maquivar
ANIM_SCI,267,Equine Science,01,08019,2,M15.10-17,WEB ARR,A Reitmeier
ANIM_SCI,314,Principles of Nutrition,01,05768,3,"M,W,F12.10-13",WEB ARR,N Irlbeck
ANIM_SCI,345,Introduction to Animal Growth and Development,01,05769,3,"M,W,F9.10-10",WEB ARR,M Du
ANIM_SCI,350,Physiology of Reproduction,01,05770,3,"M,W,F11.10-12",WEB ARR,M Maquivar
ANIM_SCI,351,Physiology of Reproduction Laboratory,01,05771,1,W14.10-17,WEB ARR,M Maquivar
ANIM_SCI,351,Physiology of Reproduction Laboratory,02,05772,1,TH14.55-17.45,WEB ARR,M Maquivar
ANIM_SCI,351,Physiology of Reproduction Laboratory,03,05773,1,F14.10-17,WEB ARR,M Maquivar
ANIM_SCI,351,Physiology of Reproduction Laboratory,04,08034,1,TH12.05-14.55,WEB ARR,M Maquivar
ANIM_SCI,380,Careers in Animal Science,01,05774,1,M15.10-16,WEB ARR,H Neibergs
ANIM_SCI,399,Practicum,01,"",V,ARRGT,ARR ARR,(multiple)
ANIM_SCI,399,Practicum,02,05776,V,ARRGT,ARR ARR,K Johnson
ANIM_SCI,399,Practicum,03,05777,V,"M,TH17.30-19",CUE 114,J Harrison
ANIM_SCI,399,Practicum,04,05778,V,ARRGT,ARR ARR,D Llewellyn
ANIM_SCI,399,Practicum,05,"",V,ARRGT,ARR ARR,A Reitmeier
ANIM_SCI,399,Practicum,09,08085,V,M17.10-18,WEB ARR,M Maquivar
ANIM_SCI,399,Practicum,10,08816,V,ARRGT,ARR ARR,(multiple)
ANIM_SCI,405,Ciders and Other Fermented Foods,01,08361,3,"M,W12.10-13",WEB ARR,C Edwards
ANIM_SCI,405,Ciders and Other Fermented Foods,01 Lab,08363,0,ARRGT,ARR ARR,C Edwards
ANIM_SCI,408,[M] Ruminant Nutrition,01,05780,3,"M,W,F8.10-9",WEB ARR,K Johnson
ANIM_SCI,468,Applied Physiology of Cultured Fish,01,16032,3,"TU,TH12.05-13.20",WEB ARR,M Phelps
ANIM_SCI,474,[CAPS] [M] Beef Cattle Production,01,05783,3,"TU,TH10.35-11.25",WEB ARR,K Johnson
ANIM_SCI,474,[CAPS] [M] Beef Cattle Production,01 Lab,05784,0,TU13.30-16.20,WEB ARR,K Johnson
ANIM_SCI,485,[M] Applied Animal Behavior,01,06413,3,"M,W14.10-15",WEB ARR,E Clancey
ANIM_SCI,485,[M] Applied Animal Behavior,01 Lab,06414,0,W15.10-17.40,WEB ARR,E Clancey
ANIM_SCI,495,Research in Animal Sciences,01,06538,V,ARRGT,ARR ARR,K Hayashi
ANIM_SCI,499,Special Problems,01,05785,2,ARRGT,ARR ARR,(multiple)
ANIM_SCI,499,Special Problems,02,16284,2,TU11-11.50,WEB ARR,J Harrison
ANIM_SCI,500,Seminar in Animal Sciences,01,05786,1,W12.10-13,WEB ARR,N Law
ANIM_SCI,504,Special Topics,03,"",V,ARRGT,ARR ARR,M Phelps
ANIM_SCI,504,Special Topics,04,16379,V,ARRGT,ARR ARR,J Pru
ANIM_SCI,545,Statistical Genomics,01,08989,3,"M,F15.10-16",WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,02,08997,3,"M,F15.10-16",WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,03,09005,3,"M,F15.10-16",WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,04,09013,3,"M,F15.10-16",WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,05,09021,3,"M,F15.10-16",WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,01 Lab,08993,0,W15.10-17.40,WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,02 Lab,09001,0,W15.10-17.40,WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,03 Lab,09009,0,W15.10-17.40,WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,04 Lab,09017,0,W15.10-17.40,WEB ARR,Z Zhang
ANIM_SCI,545,Statistical Genomics,05 Lab,09025,0,W15.10-17.40,WEB ARR,Z Zhang
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",01,05787,V,ARRGT,ARR ARR,M Du
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",02,05788,V,ARRGT,ARR ARR,K Johnson
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",03,05789,V,ARRGT,ARR ARR,M Phelps
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",04,05790,V,ARRGT,ARR ARR,H Neibergs
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",05,05791,V,ARRGT,ARR ARR,Z Jiang
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",06,05792,V,ARRGT,ARR ARR,A Adams-Progar
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",08,05794,V,ARRGT,ARR ARR,M Maquivar
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",09,05795,V,ARRGT,ARR ARR,N Law
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",10,06802,V,ARRGT,ARR ARR,D Llewellyn
ANIM_SCI,800,"Doctoral Research, Dissertation, and/or Examination",01,05796,V,ARRGT,ARR ARR,M Du
ANIM_SCI,800,"Doctoral Research, Dissertation, and/or Examination",02,05797,V,ARRGT,ARR ARR,K Johnson
ANIM_SCI,800,"Doctoral Research, Dissertation, and/or Examination",03,05798,V,ARRGT,ARR ARR,J Pru
ANIM_SCI,800,"Doctoral Research, Dissertation, and/or Examination",04,05799,V,ARRGT,ARR ARR,H Neibergs
ANIM_SCI,800,"Doctoral Research, Dissertation, and/or Examination",05,05800,V,ARRGT,ARR ARR,Z Jiang
ANIM_SCI,800,"Doctoral Research, Dissertation, and/or Examination",06,05801,V,ARRGT,ARR ARR,A Adams-Progar
ANTH,101,[DIVR] Introduction to Anthropology,01,05155,3,"M,W,F10.10-11",WEB ARR,M Carney
ANTH,101,[DIVR] Introduction to Anthropology,02,05156,3,"M,W,F11.10-12",WEB ARR,D Weber
ANTH,101,[DIVR] Introduction to Anthropology,03,05157,3,"M,W,F12.10-13",WEB ARR,E Helmer
ANTH,101,[DIVR] Introduction to Anthropology,04,05158,3,"TU,TH9.10-10.25",WEB ARR,N Grow
ANTH,101,[DIVR] Introduction to Anthropology,05,05159,3,"TU,TH10.35-11.50",WEB ARR,N Grow
ANTH,101,[DIVR] Introduction to Anthropology,06,05160,3,"TU,TH12.05-13.20",WEB ARR,T Alvarez
ANTH,101,[DIVR] Introduction to Anthropology,08,09534,3,"M,W,F13.10-14",WEB ARR,J Blong
ANTH,130,[SSCI] Great Discoveries in Archaeology,01,05162,3,"M,W,F10.10-11",WEB ARR,R Horowitz
ANTH,201,[HUM] Art and Society,01,05163,3,"TU,TH12.05-13.20",WEB ARR,E Deelen
ANTH,201,[HUM] Art and Society,02,05164,3,"M,W,F12.10-13",WEB ARR,P Moonkham
ANTH,203,[DIVR] Global Cultural Diversity,01,05165,3,"M,W,F13.10-14",WEB ARR,A Jordan
